,,,,,,
,,,,,,
Base Aggregate Report,,,,,,
,,,,,,
,,,,,,
,Base Number,Base Name,,Pick Up Date,Number of Trips,Number of Vehicles
,B02026,A RIDE FOR ALL LLC,,04/16/2015, 1 , 1 
,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,04/16/2015, 45 , 15 
,B02073,"STARGATE LIMOUSINE, INC.",,04/16/2015, 11 , 4 
,B02096,"CET GROUP, INC",,04/16/2015, 14 , 13 
,B02106,"PERFECT LIMO SERVICE, INC.",,04/16/2015, 6 , -   
,B02110,"OPTIMUM CAR & LIMO, INC.",,04/16/2015, 125 , 10 
,B02127,"CONTINENTAL RIDE, INC.",,04/16/2015, 7 , 4 
,B02133,"TWR CAR & LIMO, INC.",,04/16/2015, 103 , 36 
,B02142,ASCENT LIMOUSINE INC.,,04/16/2015, 5 , 5 
,B02144,"SILVER STAR LIMOUSINES, INC.",,04/16/2015, 23 , 9 
,B02147,"MITA LIMOUSINE, INC.",,04/16/2015, 21 , 12 
,B02155,ABA LUXURY CAR INC.,,04/16/2015, 15 , 13 
,B02157,REAGAN CONVEYANCE  CORP.,,04/16/2015, 186 , 89 
,B02167,MADISON LIMOUSINE INC,,04/16/2015, 11 , 2 
,B02182,"FINEST CAR SERVICE, LLC",,04/16/2015, 4 , 2 
,B02191,US LIMO SYSTEM INC,,04/16/2015, 59 , 24 
,B02213,"EXPRESS 11 CAR SERVICE, INC.",,04/16/2015, 260 , 29 
,B02216,"FEDERAL TRANSIT, INC",,04/16/2015, 4 , 1 
,B02217,PCS LIMOUSINE INC.,,04/16/2015, 55 , 12 
,B02240,NEW APPLE TRANS. INC.,,04/16/2015, 27 , 13 
,B02248,HYBRID LIMO EXPRESS INC.,,04/16/2015, 11 , 1 
,B02252,ASIANA LIMOUSINE INC.,,04/16/2015, 10 , 6 
,B02265,"COUNTY CAR SERVICE, INC.",,04/16/2015, 43 , 3 
,b02301,DOUBLE A CAR SERVICE INC.,,04/16/2015, 471 , 25 
,B02306,ACCUELIMO LUXURY LLC,,04/16/2015, 89 , 22 
,B02320,"SWIFT 75 CAR & LIMO SVC., INC.",,04/16/2015, 74 , -   
,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,04/16/2015, 38 , -   
,B02377,"ECONOMY CAR SERVICE, LLC",,04/16/2015, 8 , 4 
,B02378,WELLCARE CAR SERVICE INC.,,04/16/2015, 1 , 1 
,B02389,"EMBARQUE N.Y., INC.",,04/16/2015, 58 , 17 
,B02397,CHICO EXPRESS CORP. 2,,04/16/2015, 154 , 13 
,B02410,"POLO LIMOUSINE, CORP.",,04/16/2015, 103 , 30 
,B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,04/16/2015, 21 , 3 
,B02435,"TEINETCO, INC",,04/16/2015, 6 , 3 
,B02436,FEDERAL TRANSIT NY INC.,,04/16/2015, 4 , 1 
,B02440,MLL LIMOUSINE SERVICES INC.,,04/16/2015, 59 , 23 
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,04/16/2015, 9 , 9 
,B02468,GROUNDLINK HOLDINGS LLC,,04/16/2015, 150 , 38 
,B02469,FUTURE LIMO VIP CORP,,04/16/2015, 1 , 1 
,B02470,CRI LIMO INC.,,04/16/2015, 23 , 8 
,B02471,TSU GLOBAL SERVICES INC,,04/16/2015, 12 , 5 
,B02475,ECKFORD LITE CAR & LIMO INC.,,04/16/2015, 18 , 10 
,B02491,CALL THREES LLC,,04/16/2015, 31 , 4 
,B02511,DEKALB CAR SERVICE CORP.,,04/16/2015, 31 , 14 
,B02517,LOS PAISANOS LUXURY C/S INC.,,04/16/2015, 1 , 1 
,B02524,ESQ LIMOUSINE LLC,,04/16/2015, 19 , 8 
,B02532,COZY RIDE LIMOUSINE INC,,04/16/2015, 15 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,04/16/2015, 6 , 5 
,B02543,GTA CAR & LIMO SERVICE LLC,,04/16/2015, 58 , 9 
,B02547,NICK CAR & LIMO SERVICE INC.,,04/16/2015, 5 , 4 
,B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,04/16/2015, 1 , 1 
,B02564,LAGUARDIA LUXURY CAR & LIMO,,04/16/2015, 2 , 1 
,B02573,SUNSET PARK CAR SERVICE INC,,04/16/2015, 365 , 39 
,B02590,LUXOR LIMO INC,,04/16/2015, 75 , -   
,B02629,CARLUX LIMO INC.,,04/16/2015, 9 , 5 
,B02637,ROOSEVELT CAR & LIMO INC.,,04/16/2015, 16 , 13 
,B02653,NEW COLLEGE CAR SVCE INC,,04/16/2015," 1,114 ", 121 
,B02664,CORPORATE CAR LTD.,,04/16/2015, 10 , 6 
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,04/16/2015, 7 , 5 
,B02667,LEON LUXURY LIMO INC,,04/16/2015, 2 , 2 
,B02673,CONCORDE LIMOUSINE INC,,04/16/2015, 5 , 4 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,04/16/2015, 2 , 2 
,B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,04/16/2015, 3 , 3 
,B02689,OCS LIMO CORP.,,04/16/2015, 2 , 2 
,B02695,SEE USA TOURS INC.,,04/16/2015, 7 , 3 
,B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,,04/16/2015, 6 , 5 
,B02710,PARADA CAR SERVICE,,04/16/2015, 12 , 6 
,B02712,AVE O CAR SERVICE INC,,04/16/2015, 6 , 6 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,04/16/2015, 105 , 1 
,B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,04/16/2015," 1,138 ", 383 
,B02723,CHARLIE BLACK CAR INC,,04/16/2015, 13 , -   
,B02725,KIRIN TRANSPORTATION INC,,04/16/2015, 91 , 1 
,B02726,COMPADRE CAR SERVICE INC.,,04/16/2015, 43 , 8 
,B02727,OSCAR LIMOUSINE INC,,04/16/2015, 3 , 3 
,B02731,EMES OF BOROPARK CAR SERVICE INC,,04/16/2015, 40 , 3 
,B02751,RELIANCE GROUP INC,,04/16/2015, 2 , 2 
,B02753,DADDY LIMO INC,,04/16/2015, 27 , 9 
,B02754,TIGER CAR SERVICE INC.,,04/16/2015, 2 , 2 
,B02782,NEW APP CAR & LIMO INC,,04/16/2015, 1 , 1 
,B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,04/16/2015, 40 , 5 
,B02794,ASAP LUXE INC,,04/16/2015, 129 , 18 
,B00008,T-D MAINTENANCE CORP,,04/17/2015, 252 , 15 
,B00009,T-D MAINTENANCE,,04/17/2015, 155 , 16 
,B00013,LOVE CORP CAR INC,,04/17/2015, 269 , 100 
,B00014,NY ONE CORP CAR INC,,04/17/2015, 370 , 141 
,B00035,LOTUS RIDE INC,,04/17/2015, 2 , 2 
,B00037,TRANSP UNLIMITED C/S,,04/17/2015, 479 , 48 
,B00095,LIBERTY CAR SERVICE INC.,,04/17/2015, 772 , 79 
,B00160,JAFFA CAR & LIMO SVC INC,,04/17/2015, 292 , 2 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,04/17/2015, 117 , 18 
,B00221,PROFESSIONAL CAR SERVICE INC,,04/17/2015, 538 , 82 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,04/17/2015, 440 , 159 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,04/17/2015, 22 , 12 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,04/17/2015, 968 , 124 
,B00254,XYZ TWO WAY RADIO,,04/17/2015, 956 , 253 
,B00255,CAUTIOUS CARS INC.,,04/17/2015, 53 , 11 
,B00256,FAST OPERATING CORP,,04/17/2015," 2,885 ", 705 
,B00272,BIG APPLE CAR INC,,04/17/2015, 345 , 142 
,B00277,ALL CITY CORP TRANS INC,,04/17/2015, 127 , 42 
,B00280,FLEET RADIO DISPATCH CORP.,,04/17/2015, 202 , 79 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,04/17/2015, 90 , 9 
,B00296,PRIME TIME TRANS. INC,,04/17/2015, 57 , 38 
,B00310,WATSON CAR SERVICE INC.,,04/17/2015," 1,825 ", 138 
,B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,04/17/2015, 459 , 3 
,B00381,BELL RADIO INC,,04/17/2015, 325 , 112 
,B00411,FONE-A-CAR INC,,04/17/2015, 173 , 56 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,04/17/2015, 343 , 81 
,B00448,DIAL CAR INC.,,04/17/2015, 3 , 2 
,B00475,RIDGE TRANSPORTATION CORP.,,04/17/2015, 171 , 11 
,B00477,INTA-BORO ACRES INC,,04/17/2015, 416 , 150 
,B00552,HINO-MARU ENTERPRISES INC.,,04/17/2015, 44 , 31 
,B00608,SUMMIT CORP CAR INC,,04/17/2015, 129 , 39 
,B00619,LINCOLN LIMO SVCE INC,,04/17/2015, 24 , 5 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,04/17/2015, 13 , 8 
,B00652,RESCUE C/S INC,,04/17/2015, 108 , 18 
,B00789,VITAL TRANSPORTATION INC.,,04/17/2015, 707 , 214 
,b00833,OMEGA CAR SERVICE INC.,,04/17/2015, 65 , -   
,B00837,CAREY LIMO N Y INC,,04/17/2015, 450 , 157 
,B00856,BEE-BEE CAR & LIMO CORP,,04/17/2015, 812 , 69 
,B00888,ACE C/L SVCE INC,,04/17/2015, 119 , 38 
,B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,04/17/2015, 243 , 13 
,B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",,04/17/2015, 486 , 73 
,B00932,NATASHAS GRP CAR CORP,,04/17/2015, 337 , 45 
,b00941,PERSONAL TOUCH C/S,,04/17/2015, 58 , -   
,B00948,510 CAR SERVICE CORP,,04/17/2015, 696 , 62 
,b00983,"1431 CAR SERVICE, INC.",,04/17/2015, 85 , 10 
,b01013,AMERICANA TRANSPORTATION LLC,,04/17/2015, 18 , 6 
,B01016,810 CAR SVCE CORP,,04/17/2015," 1,020 ", 72 
,B01020,MICHAELS CAR SERVICE INC.,,04/17/2015, 46 , 14 
,b01039,NYC WHEELS CAR SERVICE INC.,,04/17/2015, 10 , 10 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,04/17/2015, 100 , 8 
,B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,04/17/2015, 246 , 11 
,B01087,ELITE LIMO PLUS INC,,04/17/2015, 621 , 239 
,B01129,GTWY INC,,04/17/2015, 219 , 23 
,B01148,EVELYN CAR SERVICE INC,,04/17/2015, 479 , 57 
,B01176,SANTO DOMINGO C/S INC,,04/17/2015, 633 , 79 
,B01177,SLMK INC.,,04/17/2015, 129 , 13 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,04/17/2015, 269 , 89 
,B01222,ANDREA CAR SVCE INC,,04/17/2015, 1 , 1 
,B01231,GO CAR CORP.,,04/17/2015, 184 , 28 
,B01265,CAPRICE C/S CORP,,04/17/2015, 543 , 68 
,B01280,BENSONHURST RIDE INC.,,04/17/2015, 270 , 25 
,B01306,"R N D TRANSPORTATION, INC.",,04/17/2015, 29 , 6 
,B01311,DISCOUNT CAR SVCE,,04/17/2015, 22 , 9 
,B01315,"V.I.T. CAR SERVICE, INC.",,04/17/2015," 1,571 ", 165 
,B01332,SKYWAY CAR SERVICE EXPRESS INC.,,04/17/2015, 53 , 8 
,B01336,BAY EXPRESS CORP.,,04/17/2015, 243 , 23 
,B01340,UNICAR COMPANY INC,,04/17/2015," 1,159 ", 148 
,B01351,HADERECH CAR SERVICE INC,,04/17/2015, 33 , 6 
,B01362,AMERICAN BASE NO.1 INC.,,04/17/2015," 1,078 ", 158 
,B01367,"ROYAL DISPATCH SERVICES, INC.",,04/17/2015, 1 , 1 
,B01391,ROSE 'N' DALE C/S INC,,04/17/2015, 181 , 12 
,B01398,ALEX EXP C/L INC,,04/17/2015, 1 , -   
,B01445,J T TRANS CO INC,,04/17/2015, 115 , 43 
,B01453,ST GEORGE EXPRESS CAR SERVICE INC.,,04/17/2015, 259 , 17 
,B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,04/17/2015, 290 , 74 
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,04/17/2015, 71 , 10 
,B01506,HOYT LIMO & SVC CORP,,04/17/2015, 590 , 74 
,B01509,"BRUNWISH ENTERPRISES,LTD.",,04/17/2015, 757 , 73 
,B01514,LOS ANDES LIMO INC.,,04/17/2015, 70 , 12 
,B01522,"STM ENTERPRISES,INC",,04/17/2015, 90 , 15 
,B01537,S.I. SPEED INC.,,04/17/2015, 161 , 16 
,B01546,BELLE ROCK OF BEACH CHANNEL INC.,,04/17/2015, 82 , 7 
,B01608,JERUSALEM CAR COM.INC.,,04/17/2015, 22 , 7 
,B01614,R TRANSPORT INC,,04/17/2015, 33 , 9 
,B01623,JAMAICA EXPRESS CAR SERVICE INC.,,04/17/2015, 59 , 8 
,B01625,GLOBE CAR SERVICE INC,,04/17/2015, 122 , 8 
,B01626,LA NUEVA QUISQUEYA C/S INC,,04/17/2015," 1,444 ", 125 
,B01635,HAR-SINAY CAR & LIMO SVC INC,,04/17/2015, 23 , 8 
,B01675,"TOWNCAR TRANSPORTATION, INC.",,04/17/2015, 135 , 14 
,B01678,G WAY TRANSPORT INC.,,04/17/2015, 39 , 5 
,B01679,CENTURY CAR SERVICE INC.,,04/17/2015, 72 , 6 
,B01726,SUPER CLASS RADIO DISP INC,,04/17/2015," 1,140 ", 158 
,B01727,"CHAUFFEUR SERVICES, INC.",,04/17/2015, 3 , 3 
,B01730,LUCKY EXPRESS CORPORATION,,04/17/2015, 461 , 96 
,B01733,SHMT INC.,,04/17/2015, 92 , 9 
,B01734,AMERICAN DREAM CAR SERVICE INC.,,04/17/2015, 10 , -   
,B01738,NEW COMMANDO CAR SERVICE CORP.,,04/17/2015, 216 , 27 
,B01741,MONACO LIMO & CAR SERVICES INC.,,04/17/2015, 75 , 15 
,B01742,"AVALON TRANSPORTATION, LLC",,04/17/2015, 29 , 18 
,B01779,APEX CAR & LIMO SVCE INC,,04/17/2015, 35 , 15 
,B01846,ROMANTIQUE LIMOUSINE INC.,,04/17/2015, 3 , 3 
,B01849,JOE PAL LIMOUSINE LTD,,04/17/2015, 7 , 5 
,B01854,EUROPE LIMOUSINE SERVICE INC,,04/17/2015, 75 , 27 
,B01868,LIMO 4 LLC,,04/17/2015, 3 , 3 
,B01875,ON LINE LIMOUSINE LLC,,04/17/2015, 126 , 41 
,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,04/17/2015, 4 , 2 
,B01877,U.S.A. LIMO. INC.,,04/17/2015, 273 , 112 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,04/17/2015, 900 , 101 
,B01912,"CAR 24 TRANSPORTATION, INC",,04/17/2015, 42 , -   
,B01928,DISCOVER LIMO INC,,04/17/2015, 2 , 2 
,B01957,"ANIMO, INC",,04/17/2015, 4 , 1 
,B01970,GRAFE STREET SERVICE CORP.,,04/17/2015, 10 , 4 
,B01973,RAJA CAR & LIMOUSINE SERVICE INC.,,04/17/2015, 95 , 17 
,B01990,SUK INCORPORATED,,04/17/2015, 47 , 30 
,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,,04/17/2015, 138 , 15 
,B01998,FIRST CORPORATE SEDANS INC.,,04/17/2015, 490 , 210 
,B02003,"AVALON CORPORATE CAR,INC.",,04/17/2015, 189 , 78 
,B02016,PLANET LIMOUSINE LLC,,04/17/2015, 142 , 44 
,B02021,EASYRIDE CAR SERVICE INC.,,04/17/2015, 49 , 5 
,B02022,GOLD SEAL CAR & LIMO INC.,,04/17/2015, 53 , 22 
,B02026,A RIDE FOR ALL LLC,,04/17/2015, 6 , 1 
,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,04/17/2015, 41 , 14 
,B02073,"STARGATE LIMOUSINE, INC.",,04/17/2015, 8 , 5 
,B02096,"CET GROUP, INC",,04/17/2015, 15 , 13 
,B02106,"PERFECT LIMO SERVICE, INC.",,04/17/2015, 3 , -   
,B02110,"OPTIMUM CAR & LIMO, INC.",,04/17/2015, 100 , 9 
,B02127,"CONTINENTAL RIDE, INC.",,04/17/2015, 5 , 2 
,B02133,"TWR CAR & LIMO, INC.",,04/17/2015, 85 , 32 
,B02142,ASCENT LIMOUSINE INC.,,04/17/2015, 2 , 2 
,B02144,"SILVER STAR LIMOUSINES, INC.",,04/17/2015, 20 , 8 
,B02147,"MITA LIMOUSINE, INC.",,04/17/2015, 22 , 10 
,B02155,ABA LUXURY CAR INC.,,04/17/2015, 14 , 11 
,B02157,REAGAN CONVEYANCE  CORP.,,04/17/2015, 248 , 105 
,B02167,MADISON LIMOUSINE INC,,04/17/2015, 5 , 1 
,B02182,"FINEST CAR SERVICE, LLC",,04/17/2015, 5 , 2 
,B02191,US LIMO SYSTEM INC,,04/17/2015, 48 , 19 
,B02213,"EXPRESS 11 CAR SERVICE, INC.",,04/17/2015, 319 , 31 
,B02216,"FEDERAL TRANSIT, INC",,04/17/2015, 4 , 1 
,B02217,PCS LIMOUSINE INC.,,04/17/2015, 23 , 9 
,B02240,NEW APPLE TRANS. INC.,,04/17/2015, 31 , 13 
,B02248,HYBRID LIMO EXPRESS INC.,,04/17/2015, 10 , 1 
,B02252,ASIANA LIMOUSINE INC.,,04/17/2015, 9 , 5 
,B02265,"COUNTY CAR SERVICE, INC.",,04/17/2015, 35 , 3 
,b02301,DOUBLE A CAR SERVICE INC.,,04/17/2015, 542 , 27 
,B02306,ACCUELIMO LUXURY LLC,,04/17/2015, 100 , 22 
,B02320,"SWIFT 75 CAR & LIMO SVC., INC.",,04/17/2015, 137 , -   
,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,04/17/2015, 27 , -   
,B02377,"ECONOMY CAR SERVICE, LLC",,04/17/2015, 8 , 3 
,B02378,WELLCARE CAR SERVICE INC.,,04/17/2015, 1 , 1 
,B02389,"EMBARQUE N.Y., INC.",,04/17/2015, 45 , 16 
,B02397,CHICO EXPRESS CORP. 2,,04/17/2015, 166 , 13 
,B02410,"POLO LIMOUSINE, CORP.",,04/17/2015, 85 , 25 
,B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,04/17/2015, 19 , 3 
,B02435,"TEINETCO, INC",,04/17/2015, 17 , 7 
,B02436,FEDERAL TRANSIT NY INC.,,04/17/2015, 1 , 1 
,B02440,MLL LIMOUSINE SERVICES INC.,,04/17/2015, 41 , 19 
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,04/17/2015, 6 , 6 
,B02468,GROUNDLINK HOLDINGS LLC,,04/17/2015, 148 , 41 
,B02469,FUTURE LIMO VIP CORP,,04/17/2015, 1 , 1 
,B02470,CRI LIMO INC.,,04/17/2015, 14 , 6 
,B02471,TSU GLOBAL SERVICES INC,,04/17/2015, 9 , 4 
,B02475,ECKFORD LITE CAR & LIMO INC.,,04/17/2015, 15 , 10 
,B02491,CALL THREES LLC,,04/17/2015, 18 , 3 
,B02511,DEKALB CAR SERVICE CORP.,,04/17/2015, 31 , 11 
,B02517,LOS PAISANOS LUXURY C/S INC.,,04/17/2015, 1 , 1 
,B02524,ESQ LIMOUSINE LLC,,04/17/2015, 11 , 5 
,B02532,COZY RIDE LIMOUSINE INC,,04/17/2015, 22 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,04/17/2015, 6 , 4 
,B02543,GTA CAR & LIMO SERVICE LLC,,04/17/2015, 48 , 9 
,B02547,NICK CAR & LIMO SERVICE INC.,,04/17/2015, 4 , 3 
,B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,04/17/2015, 1 , 1 
,B02564,LAGUARDIA LUXURY CAR & LIMO,,04/17/2015, 2 , 1 
,B02573,SUNSET PARK CAR SERVICE INC,,04/17/2015, 410 , 41 
,B02590,LUXOR LIMO INC,,04/17/2015, 87 , -   
,B02629,CARLUX LIMO INC.,,04/17/2015, 8 , 4 
,B02637,ROOSEVELT CAR & LIMO INC.,,04/17/2015, 12 , 10 
,B02653,NEW COLLEGE CAR SVCE INC,,04/17/2015," 1,438 ", 126 
,B02664,CORPORATE CAR LTD.,,04/17/2015, 7 , 5 
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,04/17/2015, 4 , 4 
,B02667,LEON LUXURY LIMO INC,,04/17/2015, 8 , 4 
,B02673,CONCORDE LIMOUSINE INC,,04/17/2015, 6 , 4 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,04/17/2015, 5 , 2 
,B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,04/17/2015, 5 , 4 
,B02689,OCS LIMO CORP.,,04/17/2015, 2 , 2 
,B02695,SEE USA TOURS INC.,,04/17/2015, 12 , 4 
,B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,,04/17/2015, 3 , 3 
,B02710,PARADA CAR SERVICE,,04/17/2015, 11 , 6 
,B02712,AVE O CAR SERVICE INC,,04/17/2015, 6 , 5 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,04/17/2015, 121 , 1 
,B02718,CHURCHILL EXECUTIVE CARS INC,,04/17/2015, 1 , -   
,B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,04/17/2015," 1,313 ", 419 
,B02723,CHARLIE BLACK CAR INC,,04/17/2015, 10 , -   
,B02725,KIRIN TRANSPORTATION INC,,04/17/2015, 110 , 1 
,B02726,COMPADRE CAR SERVICE INC.,,04/17/2015, 66 , 10 
,B02727,OSCAR LIMOUSINE INC,,04/17/2015, 7 , 4 
,B02731,EMES OF BOROPARK CAR SERVICE INC,,04/17/2015, 27 , 3 
,B02751,RELIANCE GROUP INC,,04/17/2015, 2 , 2 
,B02753,DADDY LIMO INC,,04/17/2015, 52 , 10 
,B02782,NEW APP CAR & LIMO INC,,04/17/2015, 1 , 1 
,B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,04/17/2015, 39 , 5 
,B02794,ASAP LUXE INC,,04/17/2015, 146 , 20 
,B00008,T-D MAINTENANCE CORP,,04/18/2015, 252 , 15 
,B00009,T-D MAINTENANCE,,04/18/2015, 164 , 16 
,B00013,LOVE CORP CAR INC,,04/18/2015, 91 , 48 
,B00014,NY ONE CORP CAR INC,,04/18/2015, 118 , 67 
,B00037,TRANSP UNLIMITED C/S,,04/18/2015, 580 , 49 
,B00095,LIBERTY CAR SERVICE INC.,,04/18/2015, 966 , 71 
,B00160,JAFFA CAR & LIMO SVC INC,,04/18/2015, 286 , 2 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,04/18/2015, 41 , 7 
,B00221,PROFESSIONAL CAR SERVICE INC,,04/18/2015, 370 , 76 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,04/18/2015, 153 , 71 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,04/18/2015, 2 , 2 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,04/18/2015, 988 , 122 
,B00254,XYZ TWO WAY RADIO,,04/18/2015, 347 , 142 
,B00255,CAUTIOUS CARS INC.,,04/18/2015, 6 , 3 
,B00256,FAST OPERATING CORP,,04/18/2015," 1,985 ", 575 
,B00272,BIG APPLE CAR INC,,04/18/2015, 162 , 72 
,B00277,ALL CITY CORP TRANS INC,,04/18/2015, 18 , 14 
,B00280,FLEET RADIO DISPATCH CORP.,,04/18/2015, 80 , 45 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,04/18/2015, 62 , 9 
,B00296,PRIME TIME TRANS. INC,,04/18/2015, 20 , 15 
,B00310,WATSON CAR SERVICE INC.,,04/18/2015," 2,011 ", 137 
,B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,04/18/2015, 523 , 5 
,B00381,BELL RADIO INC,,04/18/2015, 92 , 49 
,B00411,FONE-A-CAR INC,,04/18/2015, 28 , 20 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,04/18/2015, 97 , 34 
,B00475,RIDGE TRANSPORTATION CORP.,,04/18/2015, 173 , 11 
,B00477,INTA-BORO ACRES INC,,04/18/2015, 155 , 71 
,B00552,HINO-MARU ENTERPRISES INC.,,04/18/2015, 34 , 27 
,B00608,SUMMIT CORP CAR INC,,04/18/2015, 34 , 20 
,B00619,LINCOLN LIMO SVCE INC,,04/18/2015, 30 , 4 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,04/18/2015, 6 , 4 
,B00652,RESCUE C/S INC,,04/18/2015, 144 , 15 
,B00789,VITAL TRANSPORTATION INC.,,04/18/2015, 275 , 117 
,b00833,OMEGA CAR SERVICE INC.,,04/18/2015, 59 , -   
,B00837,CAREY LIMO N Y INC,,04/18/2015, 198 , 84 
,B00856,BEE-BEE CAR & LIMO CORP,,04/18/2015, 812 , 69 
,b00881,CROSSBAY CAR SERVICE INC.,,04/18/2015, 4 , 4 
,B00888,ACE C/L SVCE INC,,04/18/2015, 30 , 18 
,b00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,04/18/2015, 243 , 13 
,B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",,04/18/2015, 540 , 68 
,B00932,NATASHAS GRP CAR CORP,,04/18/2015, 350 , 40 
,b00941,PERSONAL TOUCH C/S,,04/18/2015, 49 , -   
,B00948,510 CAR SERVICE CORP,,04/18/2015, 690 , 61 
,b00983,"1431 CAR SERVICE, INC.",,04/18/2015, 92 , 9 
,b01013,AMERICANA TRANSPORTATION LLC,,04/18/2015, 2 , 1 
,B01016,810 CAR SVCE CORP,,04/18/2015," 1,147 ", 74 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,04/18/2015, 98 , 8 
,B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,04/18/2015, 96 , 11 
,B01087,ELITE LIMO PLUS INC,,04/18/2015, 188 , 101 
,B01129,GTWY INC,,04/18/2015, 246 , 23 
,B01148,EVELYN CAR SERVICE INC,,04/18/2015, 504 , 58 
,B01176,SANTO DOMINGO C/S INC,,04/18/2015, 868 , 77 
,B01177,SLMK INC.,,04/18/2015, 187 , 13 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,04/18/2015, 91 , 39 
,B01222,ANDREA CAR SVCE INC,,04/18/2015, 1 , 1 
,B01231,GO CAR CORP.,,04/18/2015, 46 , 13 
,B01265,CAPRICE C/S CORP,,04/18/2015, 542 , 60 
,B01280,BENSONHURST RIDE INC.,,04/18/2015, 112 , 16 
,B01306,"R N D TRANSPORTATION, INC.",,04/18/2015, 39 , 10 
,B01311,DISCOUNT CAR SVCE,,04/18/2015, 39 , 9 
,B01313,JOY CAR SERVICES INC.,,04/18/2015, 9 , 9 
,B01315,"V.I.T. CAR SERVICE, INC.",,04/18/2015," 1,661 ", 157 
,B01332,SKYWAY CAR SERVICE EXPRESS INC.,,04/18/2015, 44 , 6 
,B01336,BAY EXPRESS CORP.,,04/18/2015, 87 , 14 
,B01340,UNICAR COMPANY INC,,04/18/2015," 1,231 ", 147 
,B01362,AMERICAN BASE NO.1 INC.,,04/18/2015," 1,182 ", 156 
,B01391,ROSE 'N' DALE C/S INC,,04/18/2015, 160 , 13 
,B01398,ALEX EXP C/L INC,,04/18/2015, 1 , -   
,B01445,J T TRANS CO INC,,04/18/2015, 22 , 15 
,B01453,ST GEORGE EXPRESS CAR SERVICE INC.,,04/18/2015, 244 , 13 
,B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,04/18/2015, 362 , 74 
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,04/18/2015, 73 , 9 
,B01506,HOYT LIMO & SVC CORP,,04/18/2015, 725 , 69 
